stock_group,stock_group_cleaned,inv_code,description,units,last_cost,barcode
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100785,PASTE TAHINI,Each,4.91,*100785*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100684,PASTE TANDORI,Kilogram,12.68,*100684*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100759,PASTRY FILO,Each,2.21,*100759*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100685,PASTRY PUFF,Kilogram,4.25,*100685*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101067,PASTRY SHORTCRUST,Kilogram,6.16,*101067*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100869,PEANUTS SALTED,Kilogram,6.76,*100869*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100819,PEANUTS UNSALTED,Kilogram,7.26,*100819*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100688,PEAS FROZEN,Kilogram,3.39,*100688*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100689,PEAS SPLIT,Kilogram,4.41,*100689*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100500,PEPPER BLACK,Kilogram,31.76,*100500*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100690,PEPPER CAYENNE,Grams,0.02,*100690*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100691,PEPPER CRACKED BLK,Kilogram,24.85,*100691*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100692,PEPPER LEMON,Grams,0.01,*100692*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100693,PEPPER PINK CORNS,Tin,20.7,*100693*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100694,PEPPER WHITE,Kilogram,23.68,*100694*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100695,PEPPERCORN GREEN,Kilogram,6.21,*100695*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100988,PEPPERCORNS SZECHUAN,Grams,0.04,*100988*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100987,PEPPERCORNS WHITE,Grams,0.02,*100987*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100923,PIE APPLES DICED,A10,3.76,*100923*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100698,PINEAPPLE SLICES,Tin,7.5,*100698*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100911,PINEAPPLE THINS,A10,2.71,*100911*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100661,PIRI PIRI SPICE MIX,Kilogram,0,*100661*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100699,PITA BREAD,Packet,6.5,*100699*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100829,PIZZA MINI SUPREME,Each,2.03,*100829*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100702,POLENTA,Kilogram,3.03,*100702*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100995,POMEGRANATE MOLASSES,Millilitres,0.01,*100995*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100795,POPPY SEEDS,Kilogram,11.59,*100795*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100981,PRAWN TWISTERS,Kilogram,22.16,*100981*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100677,QUINCE VINEGAR,Millilitres,0,*100677*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101108,RAINFOREST SEASON,Kilogram,59.5,*101108*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101038,RAISINS,Kilogram,7.64,*101038*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100790,RASPBERRIES FROZEN,Kilogram,11.28,*100790*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100703,REAL EASE,Each,5.2,*100703*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100776,RED ROASTED PEPPERS,Tin,20.76,*100776*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100904,RELISH TOMATO,Kilogram,10.27,*100904*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100704,RICE ABORIO,Kilogram,2.4,*100704*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101039,RICE BASMATI LONG,Kilogram,2.4,*101039*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100705,RICE JASMINE,Kilogram,2,*100705*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100706,RICE NOODLES,Kilogram,5.68,*100706*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101006,ROSE WATER,Litre,18.25,*101006*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100888,ROSEMARY HOYTS,Kilogram,8,*100888*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100992,SAFFRON POWDER,Grams,0.02,*100992*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100708,SAFFRON THREADS,Grams,5.71,*100708*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100711,SALT BULK,Kilogram,0.8,*100711*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101046,SALT CRYSTALS,Kilogram,25.6,*101046*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100712,SALT ROCK,Kilogram,0.53,*100712*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100830,SAMBAL OELEK,Grams,0.02,*100830*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100713,SAUCE - FISH,Litre,3.04,*100713*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100714,SAUCE APPLE,Litre,6.99,*100714*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100715,SAUCE BBQ,Kilogram,3,*100715*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100787,SAUCE BBQ RIB,Kilogram,27.4,*100787*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100717,SAUCE BOLOGANISE,Litre,7.55,*100717*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100718,SAUCE CAESAR,Litre,3.36,*100718*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100796,SAUCE CHAR SUI,Each,5.31,*100796*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100721,SAUCE CRANBERRY,Kilogram,8.82,*100721*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100722,SAUCE GRAVY,Litre,0.5,*100722*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100835,SAUCE HOI SIN,Kilogram,4.65,*100835*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100724,SAUCE KETJAP MANIS,Litre,5.65,*100724*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101045,SAUCE MIXED BERRY DESSERT,Litre,6.25,*101045*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100720,SAUCE NAPOLI,Litre,2.4,*100720*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100729,SAUCE PEPPER,Litre,2.77,*100729*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100730,SAUCE PLUM,Litre,10.02,*100730*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100731,SAUCE RASPBERRY,Kilogram,12.1,*100731*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101133,SAUCE SALSA,Litre,5.59,*101133*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100733,SAUCE SOY,Litre,6.58,*100733*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100734,SAUCE SWEET CHILLI,Litre,3.09,*100734*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100735,SAUCE TABASCO,Millilitres,0.06,*100735*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100736,SAUCE TARTARE,Litre,2.2,*100736*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100738,SAUCE TOMATO,Litre,2.05,*100738*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100506,SAUCE TOMATO PORTIONS,Box,42.18,*100506*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100739,SAUCE WORCESTERSHIRE,Litre,2.78,*100739*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100740,SEA SALT,Grams,0,*100740*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100941,SEASONING LEMON PEPPER,Kilogram,18.59,*100941*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101132,SEASONING TUSCAN,Grams,0.02,*101132*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101084,SEMOLINA,Kilogram,0,*101084*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100742,SESAME SEEDS,Kilogram,9.74,*100742*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101134,SESAME SEEDS BLACK,Grams,0.03,*101134*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100593,SHITAKE DRIED MUSHROOMS,Grams,0.03,*100593*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101002,SHRIMP PASTE BELACHAN,Kilogram,22.75,*101002*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101126,SMOKEY TOMATINA,Kilogram,42.34,*101126*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100840,SORBET,Litre,1.98,*100840*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100889,SORBET STRAWBERRY,Litre,1.98,*100889*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100745,SPICE CAJUN,Grams,0.03,*100745*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100746,SPICE CHINESE FIVE,Grams,0.01,*100746*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100747,SPRING ROLL MINI,Packet,10.5,*100747*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100507,SUGAR BROWN,Kilogram,1.54,*100507*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100748,SUGAR CASTOR,Kilogram,1.47,*100748*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100749,SUGAR ICING,Kilogram,3.26,*100749*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100924,SUGAR RAW,Kilogram,2.07,*100924*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100750,SUGAR WHITE,Kilogram,2.95,*100750*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100751,SULTANAS,Kilogram,7.43,*100751*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100958,SUMAK,Kilogram,28.15,*100958*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100917,TAMARIND,Packet,3.44,*100917*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100769,TARRAGON LEAF,Grams,0.08,*100769*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100774,THYME HOYTS,Kilogram,10.95,*100774*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100754,TOMATO PASTE,Kilogram,3.8,*100754*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100756,TOMATO SEMI-DRIED,Kilogram,11.14,*100756*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100755,TOMATO SUNDRIED,Kilogram,10.71,*100755*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100757,TOMATOES CRUSHED,Kilogram,1.5,*100757*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,103524,TOPPING CHOC,Litre,2.98,*103524*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100938,TORTILLA FLOUR ROSITAS,Packet,5.03,*100938*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100780,TUMERIC HOYTS,Kilogram,15.23,*100780*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100758,TUNA CANNED,Kilogram,4.82,*100758*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100783,VANILLA BEANS,Grams,0.3,*100783*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101026,VANILLA EXTRACT,Kilogram,6.92,*101026*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101117,VEGETABLE STOCK ROYAL,Each,43.71,*101117*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101029,VINCOTTO,Millilitres,0.1,*101029*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100760,VINEGAR BALSAMIC,Litre,21.09,*100760*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100986,VINEGAR CIDER,Litre,3.85,*100986*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100817,VINEGAR MALTED,Each,1.89,*100817*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100761,VINEGAR RASPBERRY,Litre,27.9,*100761*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100838,VINEGAR RED WINE,Litre,2.64,*100838*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101040,VINEGAR RICE WINE,Litre,4.31,*101040*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101058,VINEGAR SHERRY PAEZ,Litre,11,*101058*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100762,VINEGAR WHITE,Litre,1.14,*100762*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101007,VINEGAR WHITE WINE,Litre,2.67,*101007*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100763,VINEGARETTE,Litre,2.33,*100763*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100765,WALNUTS,Kilogram,26.55,*100765*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,101095,WASABI PASTE,Each,2.26,*101095*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100766,WEDGES,Kilogram,3.11,*100766*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100947,WHEAT BURGHAL,Kilogram,1.89,*100947*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100767,WONTON WRAPPERS,Packet,1.67,*100767*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100678,YAKINORI,Packet,0,*100678*
     STOCK GROUP 1005 - GROCERY (GST),GROCERY ,100768,YEAST FRESH,Kilogram,6.82,*100768*
     STOCK GROUP 1015 - GROCERY (FREE),GROCERY ,100900,BARLEY PEARL,Kilogram,3.33,*100900*
     STOCK GROUP 1015 - GROCERY (FREE),GROCERY ,101076,MIXED SPICE,Grams,0.01,*101076*
     STOCK GROUP 1015 - GROCERY (FREE),GROCERY ,100671,PASTA FRESH AGNELOTTI,Kilogram,2.2,*100671*
     STOCK GROUP 1015 - GROCERY (FREE),GROCERY ,100672,PASTA FRESH TORTELLINI,Kilogram,23,*100672*
     STOCK GROUP 1015 - GROCERY (FREE),GROCERY ,102652,PASTE QUINCE,Each,2.88,*102652*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102501,APPLES GRANNY,Kilogram,2.1,*102501*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102502,ASPARAGUS SPEARS,Bunch,39.6,*102502*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102503,AVOCADOS,TRAY,40,*102503*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102504,AVOCADOS EACH,Each,2.8,*102504*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102636,BASIL - BABY,Bunch,2.5,*102636*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102506,BEAN SHOOTS,Kilogram,2.94,*102506*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102507,BEANS GREEN,Kilogram,5.15,*102507*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102365,BEETROOT - BABY,Bunch,5.75,*102365*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102608,BEETROOT FRESH,Kilogram,2.53,*102608*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102594,BLUEBERRIES,Punet,5,*102594*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102509,BROCCOLI,Kilogram,2.87,*102509*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102631,BROCCOLINI,CASE,18.5,*102631*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102510,CABBAGE,Each,4.25,*102510*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102587,CABBAGE RED,Each,4.16,*102587*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102511,CAPSICUM GREEN,Kilogram,3.39,*102511*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102513,CAPSICUM RED,Kilogram,4.26,*102513*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102512,CAPSICUM YELLOW,Kilogram,4.83,*102512*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102514,CARROTS,Kilogram,1.33,*102514*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102605,CARROTS BATTON,Kilogram,3.4,*102605*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102515,CAULIFLOWER,Each,2.46,*102515*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102653,CELERIAC,Bunch,3.6,*102653*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102516,CELERY,Bunch,2.76,*102516*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102518,CHILLI FRESH,Kilogram,19.04,*102518*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102519,CORN SWEET,Each,1.92,*102519*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102583,COS LETTUCE BABY,Kilogram,10.72,*102583*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102520,CUCUMBER CONT,Bag,13.26,*102520*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102628,CURRY LEAVES,Packet,3.5,*102628*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102618,FENNEL,Bunch,1.98,*102618*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102641,FENNEL BABY,Box,1.2,*102641*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102668,FIGS FRESH,TRAY,90,*102668*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102586,GARLIC CLOVES,Kilogram,4.62,*102586*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102522,GINGER FRESH,Kilogram,9.52,*102522*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102642,GRAPEFRUIT,Each,0.72,*102642*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102523,GRAPES BLACK,Kilogram,10.83,*102523*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102525,HERBS BASIL,Bunch,2.95,*102525*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102615,HERBS CHERVIL,Bunch,2.5,*102615*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102526,HERBS CHIVES,Bunch,2.5,*102526*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102527,HERBS CORIANDER,Bunch,1.98,*102527*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102591,HERBS DILL,Each,2.69,*102591*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102576,HERBS MINT,Bunch,2.95,*102576*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102600,HERBS OREGANO,Bunch,2.88,*102600*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102597,HERBS TARRAGON,Bunch,3.62,*102597*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102592,HERBS THYME,Each,2.19,*102592*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102528,KIWI FRUIT,Each,4.31,*102528*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102529,LEEKS,Bunch,5.32,*102529*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102574,LEMON GRASS,Bunch,2.46,*102574*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102530,LEMONS,Kilogram,3.25,*102530*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102651,LETTUCE MESCLUN,Kilogram,8.54,*102651*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102558,LETTUCE SALAD MIX,Kilogram,8.54,*102558*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102535,LIME LEAVES,Punet,3.66,*102535*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102536,LIMES CASE,CASE,45.66,*102536*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102538,MANDARINS,Kilogram,3.5,*102538*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102598,MANGOS,Each,2.6,*102598*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102540,MELON - HONEYDEW,Each,8.07,*102540*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102539,MELONS - ROCK,Each,5,*102539*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102630,MUSHROOM SWISS,CASE,9.44,*102630*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102542,MUSHROOMS,Kilogram,8.93,*102542*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102607,MUSHROOMS BUTTON,Kilogram,9.18,*102607*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102626,MUSHROOMS ENOKI,CASE,3.66,*102626*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102579,MUSHROOMS FLAT,Kilogram,8.68,*102579*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102625,MUSHROOMS OYSTER,CASE,3.2,*102625*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102664,MUSHROOMS SHITAKE,Packet,3.2,*102664*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102544,ONIONS CAFE,Kilogram,1.36,*102544*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102545,ONIONS RED,Kilogram,3.38,*102545*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102543,ONIONS SPRING,Bunch,1.72,*102543*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102657,ORANGES BLOOD,Kilogram,6.98,*102657*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102581,ORANGES NAVEL,Kilogram,1.8,*102581*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102621,ORANGES VALENCIA,Box,29.8,*102621*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102659,PAPAYA,Each,3.8,*102659*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102546,PARSLEY,Bunch,1.95,*102546*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102588,PARSNIPS,Kilogram,4.55,*102588*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102606,PEARS,Kilogram,3.18,*102606*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102634,POTATOES - DESIREE,Kilogram,2.07,*102634*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102595,POTATOES - KIFFLER,Kilogram,5.57,*102595*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102551,POTATOES - PEELED,Kilogram,1.47,*102551*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102552,POTATOES - SWEET,Kilogram,1.78,*102552*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102553,PUMPKIN - PEELED,Kilogram,1.54,*102553*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102670,RED GARNET,Punet,2.5,*102670*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102556,RHUBARB,Bunch,4.19,*102556*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102557,ROCKET,Box,10.35,*102557*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102613,ROQUETTE WILD,Kilogram,11,*102613*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102575,ROSEMARY,Bunch,3.23,*102575*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102585,SAGE FRESH,Each,3.62,*102585*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102612,SHALLOTS FRESH,Kilogram,7.33,*102612*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102561,SPINACH BABY,Box,12.92,*102561*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102565,STRAWBERRIES,Punet,2.52,*102565*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102566,TOMATOES,Kilogram,3.25,*102566*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102568,TOMATOES CHERRY,Punet,2.76,*102568*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102567,TOMATOES COOKING,Box,2.62,*102567*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102569,TOMATOES ROMA,Kilogram,4.54,*102569*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102589,TURNIPS HEADS,Kilogram,3.36,*102589*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102570,WATER CRESS,Bunch,2.24,*102570*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102572,WATERMELON,Kilogram,2.29,*102572*
     STOCK GROUP 1025 - PRODUCE,PRODUCE,102573,ZUCCHINI,Kilogram,2.97,*102573*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103584, YO YO,Each,0.72,*103584*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103500,ASSORTED CAKES,Each,2.32,*103500*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103567,ASSORTED CAKES  - CUSTARD TART CREAM,Each,1.25,*103567*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103502,ASSORTED TRAY CAKE,Each,24.96,*103502*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103503,BRANDY SNAP BASKETS,Each,2.23,*103503*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103529,CAKE - CITRUS TART,Each,11.33,*103529*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103554,CAKE - CITRUS TART - MINI,Each,1.41,*103554*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103552,CARROT CAKE,Each,28.22,*103552*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103582,CHEESE CAKE CLASSIC BAKED,Kilogram,21.03,*103582*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103618,CHOCOLATE BUTTONS CADBURY,Kilogram,6.8,*103618*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103507,CHOCOLATE FROGS,Kilogram,18.09,*103507*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103511,DANISHES,Box,79.48,*103511*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103514,GELATINE /LEAF,Packet,105.59,*103514*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103515,GELATINE POWDER,Kilogram,48,*103515*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103551,HUMMINGBIRD,Each,31.34,*103551*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103517,JELLY/ASSORTED,Kilogram,3.59,*103517*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103574,LEMON TART,Serve,14.72,*103574*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103590,MACARONS PURCHASE,Each,1.36,*103590*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103519,MOUSSE HOME MADE,Kilogram,16.58,*103519*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103550,MUDCAKES,Each,29.52,*103550*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103520,NON-PARIELS,Kilogram,5.98,*103520*
